phone,n,mean_gop,std_gop,mean_human,pcc,scc,mae,mse,reported,n_utt,aggregate
AA,416,6.217565875787002,0.3860876395194721,1.8624999999999998,0.3783537858533975,0.2816790559174238,0.25528050940048186,0.15901144477499551,True,387,False
AE,1465,6.133379659229578,0.364911437709532,1.8865529010238908,0.2727229680090042,0.23685164189148877,0.24540926789974962,0.11789755301289336,True,1140,False
AH,4437,6.616580128535404,0.33250810806513,1.8393959882803697,0.2884562126118843,0.3090829264819739,0.20535605614801117,0.15483716371887413,True,2066,False
AO,750,6.070762030919393,0.36218578799210094,1.8221333333333336,0.4742390884010446,0.41231102470127273,0.25995499060733673,0.161922214526419,True,664,False
AW,352,5.714475974440575,0.492686339519484,1.8164772727272729,0.47249996508760705,0.48434767977508264,0.3342272935556662,0.19708792786620455,True,328,False
AY,1228,6.3667149683551605,0.4400228344378445,1.8633550488599346,0.4099560188743172,0.4182213428858014,0.22837742978914535,0.16592162109455555,True,959,False
B,846,6.644302023218033,0.7204496349568438,1.966903073286052,0.2916439168318461,0.21137970355725474,0.1310186764743359,0.04165285326790388,True,730,False
CH,181,6.1661876683735715,0.5937848003547801,1.8662983425414366,0.615698276894304,0.4384546660302585,0.23108301146409466,0.11737505404343528,True,177,False
D,1866,6.376143375776971,0.6899844696041594,1.8778135048231512,0.29400411439079494,0.3044039667105338,0.2088255657338855,0.12413922818787623,True,1321,False
DH,1495,5.6380387628357544,0.5486780049854566,1.845351170568562,0.3775256201327155,0.3647053984885268,0.30465102098278574,0.14213968447900494,True,1195,False
EH,1271,6.1891856174784134,0.3696235026127883,1.7869394177812745,0.37368919771624287,0.3495478207760983,0.29104761840425064,0.20605145332967517,True,1006,False
ER,695,6.534426493610409,0.37608207309051506,1.821870503597122,0.430932670670767,0.4335239571475001,0.22836743370363977,0.19189071325002227,True,599,False
EY,800,6.279058703184128,0.4138934740195951,1.74425,0.5804772666767567,0.598787397861808,0.29730927245434247,0.2454158398598721,True,679,False
F,855,6.714596552597849,0.5510859056886922,1.9349707602339183,0.42037415200415357,0.25559124178373654,0.13225204165665014,0.07815659066546343,True,722,False
G,543,6.7248889412010575,0.6518619570573897,1.9517495395948434,0.4081160372458176,0.24331266716995037,0.125226876502532,0.05975973487667637,True,506,False
HH,1081,6.031377678993783,0.6150914169904573,1.945235892691952,0.28806781390935027,0.23950822010152614,0.25241406243755526,0.10945686464854637,True,832,False
IH,2927,6.623370177435476,0.4489618411169008,1.8949094636146224,0.3407423357257794,0.33542674506619463,0.17238815332075638,0.11602950430142762,True,1699,False
IY,1868,6.446241607247379,0.4170860615855829,1.8740899357601715,0.4207623264321549,0.30793757694641516,0.1776217417765869,0.10461046205696296,True,1376,False
JH,179,6.182657020718025,0.6049671808240273,1.8748603351955309,0.4440817922484999,0.35367091358600833,0.23473800535448133,0.11711902920057687,True,178,False
K,1429,6.819478300253439,0.6213939581433489,1.9289013296011197,0.4248801945292108,0.3277222876266367,0.1144788655520325,0.06606893292745264,True,1131,False
L,1858,6.566607824311189,0.6713896186995802,1.858557588805167,0.3664052766753171,0.4205354793083924,0.1867835873062149,0.12021450167178663,True,1328,False
M,1464,6.962729456320487,0.6797495742350664,1.9006830601092894,0.48024924477170616,0.45910583797850696,0.11021290422998112,0.08366599291049966,True,1110,False
N,3012,6.751155396698322,0.6763796955137418,1.903718459495352,0.3422537630332892,0.30112672832178405,0.14903147153530197,0.09640823904218862,True,1774,False
NG,565,5.208139834783774,0.8383655919721237,1.872920353982301,0.3882600633522274,0.37559027005026907,0.4093776504978678,0.2237474764020088,True,511,False
OW,782,6.416067947816971,0.36536319113575627,1.8442455242966753,0.4227760351790803,0.40103360854984665,0.21579679754395653,0.13180716743593596,True,694,False
OY,20,5.629095721244812,0.5151302944533325,1.75,,,0.33409268910723633,0.19708836852128644,False,20,False
P,690,6.799413196591363,0.6373499801321635,1.924927536231884,0.30526685964403244,0.2421479567510936,0.12837979439696476,0.07132501748449294,True,574,False
R,1200,6.411196138858795,0.5454696459850448,1.8511666666666668,0.38440758030269284,0.35466239243674547,0.2170829038186954,0.14185973155853854,True,962,False
S,2157,6.8137421187947735,0.5787342008254609,1.9117292535929533,0.47397783437991,0.2969280478114818,0.12998119385285734,0.09148153671476432,True,1462,False
SH,346,6.297605335367897,0.6048280959897061,1.792485549132948,0.6264292943238762,0.5724913256097489,0.24986191489149834,0.18236921048880156,True,320,False
T,3958,6.539194853996134,0.5857001073070154,1.9106114199090451,0.3355732098828564,0.3355213957375828,0.16414298861025012,0.09177903453244113,True,2033,False
TH,348,5.844938907130011,0.6950163797650147,1.7298850574712643,0.3348054688278675,0.4078811529405648,0.2788922693539923,0.20498176642290095,True,322,False
UH,563,5.051027247579652,0.5166097141067321,1.7985790408525757,0.4320823722352418,0.5950783580757548,0.41775263101193727,0.23678742888116514,True,510,False
UW,1409,6.113879450167892,0.39852474597735527,1.8625975869410931,0.34957931867428166,0.1755732001096258,0.17710935094879227,0.06708326114289644,True,1107,False
V,810,6.302726239922606,0.6986053136358327,1.851358024691358,0.4031902896724096,0.3821706509772135,0.1677735590145047,0.07240878652935834,True,707,False
W,1562,6.09885553055933,0.5134205765936727,1.9481434058898848,0.3389959457102399,0.2452810073172082,0.23053233940426762,0.08850051708406197,True,1201,False
Y,625,6.34907573852539,0.6330025670175914,1.9686400000000002,0.2928619122145466,0.2314483104810172,0.17494977419234373,0.058341467595855366,True,558,False
Z,1297,6.310900433760197,0.6710677658704567,1.7423284502698537,0.39283504102725,0.21621628216493927,0.2226063441171167,0.1282058594863719,True,1065,False
ZH,19,4.301412758074309,1.005815173809347,1.2736842105263158,,,0.4110866917116737,0.2523304695341234,False,19,False
CONSONANT,28386,6.4659903009824955,0.7333450509336058,1.8923483407313464,0.34311788400656684,0.314031221342043,0.18355550279844593,0.10269638143103402,True,2500,True
VOWEL,18983,6.361481923044202,0.5082325919562282,1.8484117368171522,0.3074046857554886,0.3097494201334891,0.2229882751186082,0.1465476984947529,True,2500,True
